starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 26 09:40:58 2016	1469536858	0	271	272	203
Tue Jul 26 09:41:03 2016	1469536863	0	272	272	203
Tue Jul 26 09:41:01 2016	1469536861	2	273	275	201
Tue Jul 26 09:40:57 2016	1469536857	1	274	275	205
Tue Jul 26 09:41:03 2016	1469536863	0	276	276	208
Tue Jul 26 09:40:53 2016	1469536853	1	276	277	208
Tue Jul 26 09:40:59 2016	1469536859	0	277	278	206
Tue Jul 26 09:41:00 2016	1469536860	0	278	278	210
Tue Jul 26 09:40:57 2016	1469536857	0	279	279	210
Tue Jul 26 09:40:57 2016	1469536857	0	280	280	212
Tue Jul 26 09:40:53 2016	1469536853	1	280	280	208
Tue Jul 26 09:40:57 2016	1469536857	0	281	282	213
Tue Jul 26 09:41:01 2016	1469536861	0	281	282	210
Tue Jul 26 09:41:02 2016	1469536862	0	281	282	213
Tue Jul 26 09:41:02 2016	1469536862	0	282	282	212
Tue Jul 26 09:41:02 2016	1469536862	1	282	282	213
Tue Jul 26 09:40:53 2016	1469536853	1	282	283	214
Tue Jul 26 09:41:02 2016	1469536862	0	282	283	214
Tue Jul 26 09:40:56 2016	1469536856	0	282	283	213
Tue Jul 26 09:40:57 2016	1469536857	0	283	283	214
Tue Jul 26 09:40:53 2016	1469536853	0	283	284	216
Tue Jul 26 09:40:59 2016	1469536859	1	284	284	213
Tue Jul 26 09:41:02 2016	1469536862	0	284	285	216
Tue Jul 26 09:41:02 2016	1469536862	0	285	285	216
Tue Jul 26 09:41:02 2016	1469536862	0	285	285	216
Tue Jul 26 09:41:02 2016	1469536862	0	286	286	217
Tue Jul 26 09:41:02 2016	1469536862	0	285	286	216
Tue Jul 26 09:41:02 2016	1469536862	0	286	286	217
Tue Jul 26 09:40:53 2016	1469536853	1	286	286	215
Tue Jul 26 09:40:56 2016	1469536856	0	286	286	217
Tue Jul 26 09:40:56 2016	1469536856	0	287	288	218
Tue Jul 26 09:40:53 2016	1469536853	1	287	288	217
Tue Jul 26 09:40:56 2016	1469536856	0	288	288	218
Tue Jul 26 09:41:02 2016	1469536862	1	287	288	216
Tue Jul 26 09:40:57 2016	1469536857	0	289	289	220
Tue Jul 26 09:40:57 2016	1469536857	3	286	290	218
Tue Jul 26 09:40:56 2016	1469536856	0	291	291	221
Tue Jul 26 09:40:57 2016	1469536857	0	291	291	221
Tue Jul 26 09:41:02 2016	1469536862	1	291	292	221
Tue Jul 26 09:40:57 2016	1469536857	0	292	292	198
Tue Jul 26 09:41:02 2016	1469536862	0	292	292	223
Tue Jul 26 09:40:57 2016	1469536857	1	291	293	221
Tue Jul 26 09:40:57 2016	1469536857	1	292	293	224
Tue Jul 26 09:40:56 2016	1469536856	0	293	293	224
Tue Jul 26 09:40:56 2016	1469536856	0	293	294	224
Tue Jul 26 09:41:02 2016	1469536862	0	294	294	225
Tue Jul 26 09:40:57 2016	1469536857	0	294	295	221
Tue Jul 26 09:40:57 2016	1469536857	0	294	295	225
Tue Jul 26 09:40:57 2016	1469536857	0	295	295	224
Tue Jul 26 09:40:56 2016	1469536856	0	295	296	226
Tue Jul 26 09:41:04 2016	1469536864	0	296	297	228
Tue Jul 26 09:40:57 2016	1469536857	0	297	297	227
Tue Jul 26 09:41:02 2016	1469536862	1	297	298	222
Tue Jul 26 09:41:04 2016	1469536864	0	297	298	227
Tue Jul 26 09:41:01 2016	1469536861	0	298	298	222
Tue Jul 26 09:40:57 2016	1469536857	1	297	298	209
Tue Jul 26 09:40:56 2016	1469536856	0	298	298	228
Tue Jul 26 09:41:02 2016	1469536862	0	300	300	231
Tue Jul 26 09:40:56 2016	1469536856	0	300	301	230
Tue Jul 26 09:41:02 2016	1469536862	0	300	301	230
Tue Jul 26 09:40:53 2016	1469536853	1	300	301	232
Tue Jul 26 09:40:56 2016	1469536856	0	302	302	230
Tue Jul 26 09:40:56 2016	1469536856	1	302	302	232
Tue Jul 26 09:40:57 2016	1469536857	0	303	304	233
Tue Jul 26 09:40:55 2016	1469536855	0	304	304	233
Tue Jul 26 09:41:02 2016	1469536862	0	304	305	235
Tue Jul 26 09:40:56 2016	1469536856	0	304	305	235
Tue Jul 26 09:40:57 2016	1469536857	0	305	305	234
Tue Jul 26 09:40:55 2016	1469536855	1	306	307	235
Tue Jul 26 09:41:02 2016	1469536862	1	307	307	237
Tue Jul 26 09:40:56 2016	1469536856	0	309	309	240
Tue Jul 26 09:40:55 2016	1469536855	0	309	309	239
Tue Jul 26 09:40:55 2016	1469536855	1	309	310	239
Tue Jul 26 09:40:57 2016	1469536857	1	309	310	227
Tue Jul 26 09:40:56 2016	1469536856	0	310	310	239
Tue Jul 26 09:40:57 2016	1469536857	0	311	311	241
Tue Jul 26 09:40:55 2016	1469536855	2	309	311	237
Tue Jul 26 09:40:56 2016	1469536856	0	311	312	240
